"barcode1","article-no","clolor","size","week 1","week 2","week 3","week 4","week 5","week 6","week 7","week 8","week 9","week 10","week 11","week 12","week 13","week 14","week 15","week 16","week 17","week 18","week 19","week 20"
"1000798701201","CK2-70150083","Black","Small","48.0","42.0","44.0","55.0","40.0","42.0","41.0","35.0","37.0","9.0","17.0","8.0","12.0","3.0","4.0","3.0","3.0","1.0","0","1.0"
"1000798735206","CK2-70150083","Nude","Small","48.0","52.0","31.0","50.0","32.0","29.0","45.0","49.0","33.0","57.0","36.0","33.0","20.0","10.0","8.0","2.0","2.0","1.0","1.0","1.0"
"1000798703205","CK2-70150083","White","Small","67.0","73.0","54.0","60.0","67.0","61.0","55.0","33.0","15.0","3.0","0","0","0","0","0","1.0","0","0","0","0"
"1000795323215","CK2-50150084","Yellow","Medium","128.0","138.0","141.0","148.0","34.0","2.0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000795306218","CK2-50150084","Blue","Medium","122.0","124.0","106.0","19.0","20.0","3.0","0.0","0","0","0","0","0","1.0","0","0","0","0","0","0","0"
"1000800104211","CK2-90150085","Grey","Medium","16.0","14.0","10.0","6.0","11.0","19.0","13.0","8.0","12.0","10.0","12.0","12.0","16.0","17.0","7.0","11.0","16.0","27.0","24.0","40.0"
"1000800121218","CK2-90150085","Teal","Medium","55.0","44.0","52.0","28.0","37.0","41.0","30.0","26.0","20.0","11.0","16.0","15.0","12.0","5.0","1.0","4.0","1.0","0","0","0"
"1000800122215","CK2-90150085","Camel","Medium","44.0","48.0","54.0","45.0","26.0","51.0","37.0","26.0","30.0","26.0","27.0","45.0","26.0","32.0","30.0","20.0","30.0","49.0","54.0","61.0"
"1000792902222","CK2-30150086","Brown","Large","60.0","77.0","81.0","101.0","89.0","78.0","54.0","12.0","8.0","22.0","14.0","6.0","2.0","1.0","0","0","0","0","1.0","21.0"
"1000792917226","CK2-30150086","Orange","Large","140.0","156.0","169.0","212.0","11.0","4.0","2.0","1.0","0.0","1.0","0","0","0","0","0","0","0","0","7.0","84.0"
"1000792912221","CK2-30150086","Green","Large","88.0","98.0","85.0","108.0","71.0","30.0","12.0","5.0","0","0","0","0","0","0","0","0","0","0","4.0","30.0"
"1000789901214","CK2-20150087","Black","Medium","123.0","141.0","143.0","135.0","175.0","70.0","4.0","1.0","1.0","0","0","0","0","0","0","0","0","94.0","159.0","118.0"
"1000789968217","CK2-20150087","Light Grey","Medium","137.0","148.0","183.0","139.0","65.0","21.0","4.0","0","1.0","0","0","-1.0","0","0","1.0","0","0","131.0","127.0","130.0"
"1000789922219","CK2-20150087","Camel","Medium","120.0","157.0","190.0","215.0","217.0","81.0","11.0","1.0","0.0","1.0","-1.0","0","0","0","0","0","0","110.0","189.0","130.0"
"1000795514217","CK2-50150088","Taupe","Medium","21.0","35.0","31.0","25.0","25.0","20.0","17.0","31.0","13.0","10.0","8.0","0","1.0","2.0","1.0","1.0","0","0","2.0","1.0"
"1000795536219","CK2-50150088","Mustard","Medium","103.0","112.0","69.0","53.0","16.0","2.0","0.0","0","0","0","-1.0","0","0","0","0","-1.0","-1.0","0","0","0"
"1000795509213","CK2-50150088","Cream","Medium","38.0","37.0","22.0","36.0","33.0","24.0","26.0","26.0","21.0","29.0","29.0","13.0","20.0","8.0","4.0","4.0","1.0","4.0","4.0","0"
"1000799310211","CK2-80150089","Navy","Medium","89.0","73.0","68.0","52.0","42.0","43.0","49.0","50.0","48.0","20.0","20.0","17.0","9.0","4.0","8.0","1.0","2.0","1.0","1.0","1.0"
"1000799322214","CK2-80150089","Camel","Medium","54.0","47.0","44.0","36.0","22.0","41.0","30.0","40.0","22.0","26.0","21.0","25.0","24.0","22.0","13.0","10.0","5.0","2.0","2.0","1.0"
"1000799335214","CK2-80150089","Nude","Medium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","1.0","0","0"
"1000795701228","CK2-50150090","Black","Large","48.0","46.0","31.0","42.0","32.0","45.0","33.0","35.0","39.0","53.0","38.0","42.0","36.0","35.0","22.0","18.0","21.0","17.0","5.0","21.0"
"1000795706223","CK2-50150090","Blue","Large","35.0","27.0","40.0","29.0","26.0","28.0","28.0","24.0","33.0","40.0","43.0","35.0","29.0","12.0","16.0","11.0","11.0","6.0","0","9.0"
"1000795713221","CK2-50150090","Pink","Large","72.0","76.0","60.0","76.0","61.0","62.0","61.0","74.0","72.0","40.0","21.0","11.0","1.0","0","2.0","0","0","0","0","0"
"1000790101221","CK2-20150091","Black","Large","21.0","9.0","19.0","18.0","18.0","11.0","16.0","14.0","10.0","11.0","14.0","20.0","19.0","13.0","14.0","15.0","14.0","14.0","10.0","2.0"
"1000790100224","CK2-20150091","Tan","Large","30.0","34.0","29.0","41.0","34.0","27.0","23.0","25.0","31.0","35.0","40.0","41.0","16.0","11.0","8.0","4.0","4.0","1.0","2.0","1.0"
"1000790113224","CK2-20150091","Pink","Large","17.0","32.0","19.0","36.0","21.0","26.0","24.0","17.0","19.0","17.0","22.0","17.0","11.0","4.0","4.0","4.0","3.0","1.0","-1.0","1.0"
"1000790300211","CK2-20150092","Tan","Medium","49.0","52.0","47.0","51.0","36.0","41.0","53.0","61.0","67.0","54.0","41.0","17.0","9.0","10.0","3.0","5.0","2.0","1.0","3.0","2.0"
"1000790318216","CK2-20150092","Khaki","Medium","67.0","59.0","54.0","41.0","56.0","54.0","29.0","10.0","8.0","2.0","4.0","1.0","0","0","0","0","0","0","0","0"
"1000790309214","CK2-20150092","Cream","Medium","63.0","34.0","54.0","45.0","51.0","53.0","53.0","46.0","36.0","29.0","20.0","12.0","1.0","0","0","0","0","0","0","0"
"1000790503216","CK2-20150093","White","Medium","38.0","52.0","39.0","27.0","27.0","16.0","14.0","20.0","19.0","15.0","27.0","19.0","20.0","12.0","15.0","2.0","1.0","3.0","4.0","1.0"
"1000790500215","CK2-20150093","Tan","Medium","60.0","69.0","79.0","43.0","51.0","37.0","32.0","37.0","27.0","44.0","29.0","14.0","10.0","4.0","1.0","1.0","1.0","1.0","0","0"
"1000790724208","CK2-20150094","Multi","Small","66.0","58.0","11.0","9.0","6.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000790723201","CK2-20150094","Yellow","Small","60.0","100.0","67.0","73.0","60.0","67.0","22.0","36.0","8.0","0","2.0","4.0","0","0","0","0.0","1.0","0","0","0"
"1000790709205","CK2-20150094","Cream","Small","77.0","98.0","71.0","58.0","41.0","41.0","27.0","25.0","8.0","3.0","1.0","0","0","0","0","0","0","0","0","0"
"1000793901224","CK2-40150097","Black","Large","82.0","87.0","88.0","73.0","77.0","77.0","37.0","10.0","0","1.0","0","0","0","0","0","0","0","0","0","0"
"1000793905222","CK2-40150097","Beige","Large","77.0","77.0","66.0","64.0","50.0","63.0","107.0","82.0","70.0","71.0","14.0","7.0","0","0","0","0","0","0","0","0"
"1000793909220","CK2-40150097","Cream","Large","70.0","58.0","40.0","54.0","64.0","68.0","82.0","74.0","42.0","47.0","31.0","16.0","0","0","0","0","0","0","0","1.0"
"1000787503328","CK2-10640705","White","Extra Small","132.0","74.0","53.0","63.0","61.0","61.0","52.0","49.0","48.0","30.0","35.0","14.0","13.0","3.0","2.0","7.0","0","0","0","0"
"1000787513327","CK2-10640705","Pink","Extra Small","99.0","70.0","48.0","48.0","59.0","33.0","41.0","47.0","38.0","71.0","69.0","62.0","59.0","59.0","80.0","77.0","27.0","25.0","12.0","12.0"
"1000787523326","CK2-10640705","Yellow","Extra Small","69.0","56.0","40.0","41.0","44.0","32.0","38.0","38.0","37.0","52.0","54.0","41.0","43.0","46.0","75.0","85.0","55.0","37.0","20.0","19.0"
"1000787702325","CK2-10640706","Brown","Extra Small","62.0","25.0","51.0","52.0","45.0","64.0","38.0","39.0","49.0","46.0","59.0","44.0","39.0","27.0","28.0","20.0","31.0","35.0","24.0","28.0"
"1000787717329","CK2-10640706","Orange","Extra Small","174.0","141.0","109.0","116.0","114.0","141.0","123.0","115.0","83.0","44.0","29.0","10.0","1.0","0","1.0","89.0","108.0","89.0","81.0","108.0"
"1000787712324","CK2-10640706","Green","Extra Small","85.0","67.0","44.0","42.0","40.0","70.0","41.0","55.0","53.0","76.0","82.0","100.0","60.0","29.0","30.0","37.0","49.0","47.0","30.0","43.0"
"1000787955325","CK2-10640707","Brick","Extra Small","70.0","101.0","95.0","65.0","61.0","46.0","52.0","28.0","16.0","6.0","3.0","2.0","0","0","0","0","0","0","0","0"
"1000787922327","CK2-10640707","Camel","Extra Small","47.0","54.0","62.0","48.0","63.0","101.0","75.0","95.0","46.0","19.0","13.0","4.0","3.0","1.0","2.0","0","0","0","0","0"
"1000787935327","CK2-10640707","Nude","Extra Small","68.0","110.0","130.0","110.0","163.0","111.0","91.0","18.0","1.0","0","0","0","0","0","0","0","0","0","0","0"
"1000788130325","CK2-10640708","Fuchsia","Extra Small","55.0","70.0","46.0","43.0","29.0","35.0","25.0","22.0","18.0","16.0","20.0","11.0","14.0","13.0","7.0","6.0","3.0","5.0","0","2.0"
